"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.17435,0,0,0,0,-0.34871,1,1.6667e-07,0.004102,-4.6754e-05,0,-0,0.22166,0,0.27345,-0.059353,0
-0.17649,0,0,0,0,-0.35299,1,1.6667e-07,0.0041396,-6.3967e-05,0,-0,0.22268,0,0.26559,-0.059248,0
-0.17857,0,0,0,0,-0.35713,1,1.6667e-07,0.0041772,-8.1817e-05,0,-0,0.22371,0,0.25787,-0.059112,0
-0.18057,0,0,0,0,-0.36115,1,1.6667e-07,0.0042147,-0.00010031,0,-0,0.22473,0,0.25029,-0.058948,0
-0.18251,0,0,0,0,-0.36503,1,1.6667e-07,0.0042523,-0.00011946,0,-0,0.22575,0,0.24284,-0.058755,0
-0.18438,0,0,0,0,-0.36877,1,1.6667e-07,0.0042899,-0.00013927,0,-0,0.22677,0,0.23553,-0.058533,0
-0.18618,0,0,0,0,-0.37236,1,1.6667e-07,0.0043274,-0.00015976,0,-0,0.22779,0,0.22837,-0.058285,0
-0.1879,0,0,0,0,-0.3758,1,1.6667e-07,0.0043649,-0.00018092,0,-0,0.22881,0,0.22134,-0.058009,0
-0.18954,0,0,0,0,-0.37908,1,1.6667e-07,0.0044023,-0.00020277,0,-0,0.22982,0,0.21446,-0.057708,0
-0.19111,0,0,0,0,-0.38221,1,1.6667e-07,0.0044397,-0.00022533,0,-0,0.23083,0,0.20772,-0.057382,0
-0.19259,0,0,0,0,-0.38518,1,1.6667e-07,0.0044768,-0.00024858,0,-0,0.23184,0,0.20112,-0.057032,0
-0.19399,0,0,0,0,-0.38798,1,1.6667e-07,0.0045139,-0.00027255,0,-0,0.23284,0,0.19467,-0.056658,0
-0.19531,0,0,0,0,-0.39062,1,1.6667e-07,0.0045508,-0.00029724,0,-0,0.23384,0,0.18837,-0.056261,0
-0.19654,0,0,0,0,-0.39308,1,1.6667e-07,0.0045875,-0.00032267,0,-0,0.23484,0,0.1822,-0.055843,0
-0.19769,0,0,0,0,-0.39537,1,1.6667e-07,0.0046241,-0.00034884,0,-0,0.23583,0,0.17618,-0.055404,0
-0.19874,0,0,0,0,-0.39749,1,1.6667e-07,0.0046604,-0.00037576,0,-0,0.23682,0,0.1703,-0.054945,0
-0.19971,0,0,0,0,-0.39942,1,1.6667e-07,0.0046965,-0.00040344,0,-0,0.2378,0,0.16456,-0.054467,0
-0.20059,0,0,0,0,-0.40117,1,1.6667e-07,0.0047324,-0.0004319,0,-0,0.23878,0,0.15897,-0.053972,0
-0.20137,0,0,0,0,-0.40274,1,1.6667e-07,0.004768,-0.00046114,0,-0,0.23976,0,0.15351,-0.053459,0
-0.20206,0,0,0,0,-0.40412,1,1.6667e-07,0.0048033,-0.00049118,0,-0,0.24073,0,0.14819,-0.05293,0
-0.20265,0,0,0,0,-0.40531,1,1.6667e-07,0.0048383,-0.00052202,0,-0,0.2417,0,0.14301,-0.052385,0
-0.20315,0,0,0,0,-0.4063,1,1.6667e-07,0.004873,-0.00055369,0,-0,0.24266,0,0.13797,-0.051826,0
-0.20355,0,0,0,0,-0.4071,1,1.6667e-07,0.0049073,-0.0005862,0,-0,0.24361,0,0.13306,-0.051254,0
-0.20385,0,0,0,0,-0.4077,1,1.6667e-07,0.0049413,-0.00061955,0,-0,0.24457,0,0.12828,-0.050669,0
-0.20405,0,0,0,0,-0.4081,1,1.6667e-07,0.0049748,-0.00065376,0,-0,0.24551,0,0.12363,-0.050072,0
-0.20415,0,0,0,0,-0.4083,1,1.6667e-07,0.0050079,-0.00068887,0,-0,0.24645,0,0.11911,-0.049464,0
-0.20414,0,0,0,0,-0.40828,1,1.6667e-07,0.0050405,-0.00072485,0,-0,0.24738,0,0.11472,-0.048847,0
-0.20403,0,0,0,0,-0.40806,1,1.6667e-07,0.0050726,-0.00076175,0,-0,0.24831,0,0.11046,-0.048219,0
-0.20381,0,0,0,0,-0.40761,1,1.6667e-07,0.0051042,-0.00079958,0,-0,0.24923,0,0.10631,-0.047584,0
-0.20348,0,0,0,0,-0.40695,1,1.6667e-07,0.0051353,-0.00083835,0,-0,0.25015,0,0.10229,-0.04694,0
-0.20303,0,0,0,0,-0.40607,1,1.6667e-07,0.0051657,-0.00087807,0,-0,0.25106,0,0.098386,-0.04629,0
-0.20247,0,0,0,0,-0.40495,1,1.6667e-07,0.0051954,-0.00091877,0,-0,0.25196,0,0.094598,-0.045633,0
-0.2018,0,0,0,0,-0.4036,1,1.6667e-07,0.0052244,-0.00096046,0,-0,0.25285,0,0.090925,-0.04497,0
-0.201,0,0,0,0,-0.40201,1,1.6667e-07,0.0052527,-0.0010032,0,-0,0.25373,0,0.087364,-0.044303,0
-0.20008,0,0,0,0,-0.40017,1,1.6667e-07,0.0052802,-0.0010469,0,-0,0.2546,0,0.083912,-0.043631,0
-0.19904,0,0,0,0,-0.39807,1,1.6667e-07,0.0053067,-0.0010916,0,-0,0.25546,0,0.080568,-0.042956,0
