   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.277828   -0.059904    0.000000    0.000000    0.000000    0.000000
    0.283045   -0.059952    0.000000    0.000000    0.000000    0.000000
    0.288311   -0.059987    0.000000    0.000000    0.000000    0.000000
    0.293625   -0.060008    0.000000    0.000000    0.000000    0.000000
    0.298988   -0.060017    0.000000    0.000000    0.000000    0.000000
    0.304400   -0.060013    0.000000    0.000000    0.000000    0.000000
    0.309859   -0.059995    0.000000    0.000000    0.000000    0.000000
    0.315368   -0.059964    0.000000    0.000000    0.000000    0.000000
    0.320925   -0.059920    0.000000    0.000000    0.000000    0.000000
    0.326531   -0.059862    0.000000    0.000000    0.000000    0.000000
    0.332185   -0.059791    0.000000    0.000000    0.000000    0.000000
    0.337887   -0.059707    0.000000    0.000000    0.000000    0.000000
    0.343639   -0.059609    0.000000    0.000000    0.000000    0.000000
    0.349438   -0.059498    0.000000    0.000000    0.000000    0.000000
    0.355286   -0.059373    0.000000    0.000000    0.000000    0.000000
    0.361183   -0.059235    0.000000    0.000000    0.000000    0.000000
    0.367129   -0.059083    0.000000    0.000000    0.000000    0.000000
    0.373122   -0.058917    0.000000    0.000000    0.000000    0.000000
    0.379165   -0.058738    0.000000    0.000000    0.000000    0.000000
    0.385256   -0.058546    0.000000    0.000000    0.000000    0.000000
    0.391395   -0.058339    0.000000    0.000000    0.000000    0.000000
    0.397583   -0.058119    0.000000    0.000000    0.000000    0.000000
    0.403820   -0.057886    0.000000    0.000000    0.000000    0.000000
    0.410105   -0.057638    0.000000    0.000000    0.000000    0.000000
    0.416438   -0.057377    0.000000    0.000000    0.000000    0.000000
    0.422820   -0.057103    0.000000    0.000000    0.000000    0.000000
    0.429251   -0.056814    0.000000    0.000000    0.000000    0.000000
    0.435730   -0.056512    0.000000    0.000000    0.000000    0.000000
    0.442258   -0.056196    0.000000    0.000000    0.000000    0.000000
    0.448834   -0.055867    0.000000    0.000000    0.000000    0.000000
    0.455459   -0.055524    0.000000    0.000000    0.000000    0.000000
    0.462132   -0.055167    0.000000    0.000000    0.000000    0.000000
    0.468854   -0.054796    0.000000    0.000000    0.000000    0.000000
    0.475624   -0.054412    0.000000    0.000000    0.000000    0.000000
    0.482443   -0.054014    0.000000    0.000000    0.000000    0.000000
    0.489311   -0.053602    0.000000    0.000000    0.000000    0.000000
    0.496227   -0.053177    0.000000    0.000000    0.000000    0.000000
    0.503191   -0.052738    0.000000    0.000000    0.000000    0.000000
    0.510204   -0.052285    0.000000    0.000000    0.000000    0.000000
    0.517266   -0.051819    0.000000    0.000000    0.000000    0.000000
    0.524376   -0.051338    0.000000    0.000000    0.000000    0.000000
    0.531534   -0.050845    0.000000    0.000000    0.000000    0.000000
    0.538742   -0.050337    0.000000    0.000000    0.000000    0.000000
    0.545997   -0.049816    0.000000    0.000000    0.000000    0.000000
    0.553301   -0.049281    0.000000    0.000000    0.000000    0.000000
    0.560654   -0.048733    0.000000    0.000000    0.000000    0.000000
    0.568056   -0.048171    0.000000    0.000000    0.000000    0.000000
    0.575505   -0.047595    0.000000    0.000000    0.000000    0.000000
    0.583004   -0.047006    0.000000    0.000000    0.000000    0.000000
    0.590551   -0.046402    0.000000    0.000000    0.000000    0.000000
    0.598146   -0.045786    0.000000    0.000000    0.000000    0.000000
    0.605790   -0.045155    0.000000    0.000000    0.000000    0.000000
    0.613482   -0.044511    0.000000    0.000000    0.000000    0.000000
    0.621223   -0.043853    0.000000    0.000000    0.000000    0.000000
    0.629013   -0.043181    0.000000    0.000000    0.000000    0.000000
    0.636851   -0.042496    0.000000    0.000000    0.000000    0.000000
    0.644738   -0.041797    0.000000    0.000000    0.000000    0.000000
    0.652673   -0.041084    0.000000    0.000000    0.000000    0.000000
    0.660657   -0.040357    0.000000    0.000000    0.000000    0.000000
    0.668689   -0.039616    0.000000    0.000000    0.000000    0.000000
    0.676770   -0.038861    0.000000    0.000000    0.000000    0.000000
    0.684899   -0.038092    0.000000    0.000000    0.000000    0.000000
    0.693077   -0.037309    0.000000    0.000000    0.000000    0.000000
    0.701303   -0.036512    0.000000    0.000000    0.000000    0.000000
    0.709578   -0.035701    0.000000    0.000000    0.000000    0.000000
    0.717901   -0.034875    0.000000    0.000000    0.000000    0.000000
    0.726273   -0.034035    0.000000    0.000000    0.000000    0.000000
    0.734694   -0.033181    0.000000    0.000000    0.000000    0.000000
    0.743163   -0.032312    0.000000    0.000000    0.000000    0.000000
    0.751680   -0.031428    0.000000    0.000000    0.000000    0.000000
    0.760247   -0.030529    0.000000    0.000000    0.000000    0.000000
    0.768861   -0.029616    0.000000    0.000000    0.000000    0.000000
    0.777524   -0.028687    0.000000    0.000000    0.000000    0.000000
    0.786236   -0.027743    0.000000    0.000000    0.000000    0.000000
    0.794996   -0.026784    0.000000    0.000000    0.000000    0.000000
    0.803805   -0.025809    0.000000    0.000000    0.000000    0.000000
    0.812662   -0.024818    0.000000    0.000000    0.000000    0.000000
    0.821568   -0.023811    0.000000    0.000000    0.000000    0.000000
    0.830522   -0.022788    0.000000    0.000000    0.000000    0.000000
    0.839525   -0.021749    0.000000    0.000000    0.000000    0.000000
    0.848577   -0.020693    0.000000    0.000000    0.000000    0.000000
    0.857677   -0.019620    0.000000    0.000000    0.000000    0.000000
    0.866825   -0.018529    0.000000    0.000000    0.000000    0.000000
    0.876022   -0.017422    0.000000    0.000000    0.000000    0.000000
    0.885268   -0.016296    0.000000    0.000000    0.000000    0.000000
    0.894562   -0.015152    0.000000    0.000000    0.000000    0.000000
    0.903904   -0.013990    0.000000    0.000000    0.000000    0.000000
    0.913296   -0.012809    0.000000    0.000000    0.000000    0.000000
    0.922735   -0.011608    0.000000    0.000000    0.000000    0.000000
    0.932223   -0.010388    0.000000    0.000000    0.000000    0.000000
    0.941760   -0.009148    0.000000    0.000000    0.000000    0.000000
    0.951346   -0.007888    0.000000    0.000000    0.000000    0.000000
    0.960979   -0.006606    0.000000    0.000000    0.000000    0.000000
    0.970662   -0.005303    0.000000    0.000000    0.000000    0.000000
    0.980393   -0.003978    0.000000    0.000000    0.000000    0.000000
    0.990172   -0.002631    0.000000    0.000000    0.000000    0.000000
    1.000000   -0.001260    0.000000    0.000000    0.000000    0.000000
